purchase_order_id,purchase_order_line,company_id,plant_id,supplier_id,material_id,order_date,expected_delivery_date,actual_delivery_date,quantity,unit_price,currency,transport_cost,status
PO-01019,3,COMP-001,PLT-SEV-01,SUP-008,MAT-023,2026-05-09,2026-05-14,2026-05-16,121.12,12.49,EUR,217.51,RECEIVED
PO-01020,1,COMP-001,PLT-SEV-01,SUP-011,MAT-031,2026-03-03,2026-03-06,2026-03-07,88.98,26.55,EUR,186.85,RECEIVED
PO-01020,2,COMP-001,PLT-SEV-01,SUP-007,MAT-026,2025-04-20,2025-04-24,2025-04-25,105.97,12.15,EUR,214.9,RECEIVED
PO-01020,3,COMP-001,PLT-SEV-01,SUP-004,MAT-015,2025-09-11,2025-09-17,2025-09-18,131.28,22.81,EUR,198.67,RECEIVED
PO-01021,1,COMP-001,PLT-SEV-01,SUP-002,MAT-009,2025-04-10,2025-04-17,2025-04-17,284.54,4.2,EUR,116.62,RECEIVED
PO-01021,2,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2025-07-14,2025-07-19,2025-07-20,168.1,12.58,EUR,116.83,RECEIVED
PO-01021,3,COMP-001,PLT-SEV-01,SUP-001,MAT-011,2026-07-07,2026-07-12,2026-07-12,429.37,4.57,EUR,111.13,RECEIVED
PO-01022,1,COMP-001,PLT-SEV-01,SUP-002,MAT-010,2026-04-11,2026-04-18,2026-04-19,416.43,2.32,EUR,206.04,RECEIVED
PO-01022,2,COMP-001,PLT-SEV-01,SUP-006,MAT-030,2025-11-24,2025-12-02,2025-12-03,309.57,22.8,EUR,174.1,RECEIVED
PO-01022,3,COMP-001,PLT-SEV-01,SUP-011,MAT-031,2026-01-30,2026-02-02,2026-02-03,119.56,26.37,EUR,53.28,RECEIVED
PO-01023,1,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2025-04-16,2025-04-24,2025-04-23,79.33,0.48,EUR,143.45,RECEIVED
PO-01023,2,COMP-001,PLT-SEV-01,SUP-012,MAT-009,2026-05-04,2026-05-24,2026-05-25,1062.92,5.19,EUR,127.13,RECEIVED
PO-01023,3,COMP-001,PLT-SEV-01,SUP-007,MAT-027,2026-03-15,2026-03-19,2026-03-19,181.54,3.29,EUR,239.62,RECEIVED
PO-01024,1,COMP-001,PLT-SEV-01,SUP-008,MAT-024,2025-12-08,2025-12-13,2025-12-13,374.22,4.91,EUR,239.29,RECEIVED
PO-01024,2,COMP-001,PLT-SEV-01,SUP-004,MAT-014,2026-02-05,2026-02-11,2026-02-11,74.05,7.4,EUR,205.27,RECEIVED
PO-01024,3,COMP-001,PLT-SEV-01,SUP-004,MAT-014,2025-10-25,2025-10-31,2025-10-31,135.04,7.26,EUR,205.62,RECEIVED
PO-01025,1,COMP-001,PLT-SEV-01,SUP-002,MAT-010,2025-08-26,2025-09-02,2025-09-01,339.65,2.39,EUR,45.41,RECEIVED
PO-01025,2,COMP-001,PLT-SEV-01,SUP-006,MAT-016,2025-11-27,2025-12-05,2025-12-04,71.26,17.88,EUR,128.4,RECEIVED
PO-01025,3,COMP-001,PLT-SEV-01,SUP-007,MAT-029,2025-06-20,2025-06-24,2025-06-24,166.59,29.29,EUR,238.54,RECEIVED
PO-01026,1,COMP-001,PLT-SEV-01,SUP-006,MAT-034,2025-04-01,2025-04-09,2025-04-08,266.61,34.32,EUR,217.93,RECEIVED
PO-01026,2,COMP-001,PLT-SEV-01,SUP-006,MAT-029,2026-01-24,2026-02-01,2026-02-02,141.94,30.78,EUR,66.5,RECEIVED
PO-01026,3,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2025-12-27,2026-01-01,2026-01-01,299.14,12.18,EUR,130.34,RECEIVED
PO-01027,1,COMP-001,PLT-SEV-01,SUP-006,MAT-014,2025-10-20,2025-10-28,2025-10-28,265.31,7.18,EUR,135.23,RECEIVED
PO-01027,2,COMP-001,PLT-SEV-01,SUP-007,MAT-028,2026-03-19,2026-03-23,2026-03-23,184.81,3.54,EUR,139.6,RECEIVED
PO-01027,3,COMP-001,PLT-SEV-01,SUP-006,MAT-028,2026-03-17,2026-03-25,2026-03-25,129.57,3.95,EUR,163.16,RECEIVED
PO-01028,1,COMP-001,PLT-SEV-01,SUP-003,MAT-008,2026-05-08,2026-05-19,2026-05-21,294.86,2.94,EUR,100.4,RECEIVED
PO-01028,2,COMP-001,PLT-SEV-01,SUP-006,MAT-033,2026-07-07,2026-07-15,2026-07-17,82.38,20.69,EUR,113.52,RECEIVED
PO-01028,3,COMP-001,PLT-SEV-01,SUP-006,MAT-018,2025-03-27,2025-04-04,2025-04-05,134.58,23.2,EUR,214.19,RECEIVED
PO-01029,1,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2025-09-02,2025-09-10,2025-09-10,98.08,0.5,EUR,124.16,RECEIVED
PO-01029,2,COMP-001,PLT-SEV-01,SUP-001,MAT-002,2025-10-07,2025-10-12,2025-10-12,648.44,2.17,EUR,111.59,RECEIVED
PO-01029,3,COMP-001,PLT-SEV-01,SUP-005,MAT-006,2025-04-20,2025-05-06,2025-05-08,412.23,7.89,EUR,133.05,RECEIVED
PO-01030,1,COMP-001,PLT-SEV-01,SUP-007,MAT-027,2026-08-07,2026-08-11,2026-08-10,218.11,3.26,EUR,63.29,RECEIVED
PO-01030,2,COMP-001,PLT-SEV-01,SUP-006,MAT-034,2026-04-09,2026-04-17,2026-04-18,184.08,31.54,EUR,82.93,RECEIVED
PO-01030,3,COMP-001,PLT-SEV-01,SUP-009,MAT-017,2025-03-08,2025-03-11,2025-03-11,240.62,8.79,EUR,76.9,RECEIVED
PO-01031,1,COMP-001,PLT-SEV-01,SUP-011,MAT-033,2025-04-13,2025-04-16,2025-04-16,189.42,18.46,EUR,233.44,RECEIVED
PO-01031,2,COMP-001,PLT-SEV-01,SUP-007,MAT-026,2026-04-19,2026-04-23,2026-04-22,139.74,12.39,EUR,76.09,RECEIVED
PO-01031,3,COMP-001,PLT-SEV-01,SUP-006,MAT-024,2025-06-17,2025-06-25,2025-06-25,314.81,4.6,EUR,124.09,RECEIVED
PO-01032,1,COMP-001,PLT-SEV-01,SUP-006,MAT-022,2025-08-20,2025-08-28,2025-08-27,193.29,10.01,EUR,63.95,RECEIVED
PO-01032,2,COMP-001,PLT-SEV-01,SUP-008,MAT-023,2025-07-30,2025-08-04,2025-08-04,128.19,12.32,EUR,93.75,RECEIVED
PO-01032,3,COMP-001,PLT-SEV-01,SUP-012,MAT-005,2026-07-19,2026-08-08,2026-08-08,1461.03,9.51,EUR,199.57,RECEIVED
PO-01033,1,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2025-05-09,2025-05-14,2025-05-14,164.15,12.11,EUR,103.59,RECEIVED
PO-01033,2,COMP-001,PLT-SEV-01,SUP-006,MAT-033,2026-06-06,2026-06-14,2026-06-14,94.83,19.27,EUR,214.66,RECEIVED
PO-01033,3,COMP-001,PLT-SEV-01,SUP-003,MAT-006,2025-04-12,2025-04-23,2025-04-23,321.05,9.69,EUR,160.05,RECEIVED
PO-01034,1,COMP-001,PLT-SEV-01,SUP-006,MAT-033,2026-06-05,2026-06-13,2026-06-13,146.62,20.63,EUR,215.85,RECEIVED
PO-01034,2,COMP-001,PLT-SEV-01,SUP-010,MAT-012,2026-05-23,2026-06-01,2026-06-01,179.64,6.71,EUR,168.06,RECEIVED
PO-01034,3,COMP-001,PLT-SEV-01,SUP-008,MAT-025,2025-04-23,2025-04-28,2025-04-30,263.91,14.44,EUR,53.84,RECEIVED
PO-01035,1,COMP-001,PLT-SEV-01,SUP-009,MAT-019,2025-08-01,2025-08-04,2025-08-04,319.75,29.64,EUR,179.36,RECEIVED
PO-01035,2,COMP-001,PLT-SEV-01,SUP-006,MAT-026,2025-05-26,2025-06-03,2025-06-03,117.6,12.17,EUR,175.13,RECEIVED
PO-01035,3,COMP-001,PLT-SEV-01,SUP-011,MAT-034,2026-05-08,2026-05-11,2026-05-12,304.2,36.21,EUR,116.15,RECEIVED
PO-01036,1,COMP-001,PLT-SEV-01,SUP-006,MAT-032,2025-07-19,2025-07-27,2025-07-27,220.31,23.01,EUR,217.33,RECEIVED
PO-01036,2,COMP-001,PLT-SEV-01,SUP-011,MAT-034,2025-07-13,2025-07-16,2025-07-17,307.39,36.26,EUR,74.07,RECEIVED
PO-01036,3,COMP-001,PLT-SEV-01,SUP-012,MAT-011,2026-04-25,2026-05-15,2026-05-15,1575.21,4.29,EUR,89.88,RECEIVED
PO-01037,1,COMP-001,PLT-SEV-01,SUP-006,MAT-029,2026-01-11,2026-01-19,2026-01-19,112.72,32.93,EUR,80.74,RECEIVED
PO-01037,2,COMP-001,PLT-SEV-01,SUP-007,MAT-029,2026-03-27,2026-03-31,2026-04-01,197.33,29.35,EUR,242.92,RECEIVED
PO-01037,3,COMP-001,PLT-SEV-01,SUP-012,MAT-009,2026-07-06,2026-07-26,2026-07-26,741.74,5.32,EUR,217.64,RECEIVED
PO-01038,1,COMP-001,PLT-SEV-01,SUP-001,MAT-011,2026-08-08,2026-08-13,2026-08-13,317.84,4.6,EUR,59.26,RECEIVED
PO-01038,2,COMP-001,PLT-SEV-01,SUP-006,MAT-023,2026-04-10,2026-04-18,2026-04-19,154.79,11.54,EUR,121.09,RECEIVED
PO-01038,3,COMP-001,PLT-SEV-01,SUP-006,MAT-021,2026-02-07,2026-02-15,2026-02-15,685.67,10.62,EUR,100.24,RECEIVED
PO-01039,1,COMP-001,PLT-SEV-01,SUP-012,MAT-009,2025-03-06,2025-03-26,2025-03-25,1058.88,4.15,EUR,71.4,RECEIVED
PO-01039,2,COMP-001,PLT-SEV-01,SUP-006,MAT-028,2025-10-30,2025-11-07,2025-11-07,132.09,3.8,EUR,90.07,RECEIVED
PO-01039,3,COMP-001,PLT-SEV-01,SUP-012,MAT-005,2026-07-25,2026-08-14,2026-08-15,1369.35,9.33,EUR,172.71,RECEIVED
PO-01040,1,COMP-001,PLT-SEV-01,SUP-009,MAT-019,2026-02-25,2026-02-28,2026-02-28,175.31,30.99,EUR,79.34,RECEIVED
PO-01040,2,COMP-001,PLT-SEV-01,SUP-006,MAT-024,2026-08-02,2026-08-10,,438.82,4.65,EUR,122.0,OPEN
PO-01040,3,COMP-001,PLT-SEV-01,SUP-011,MAT-031,2026-03-18,2026-03-21,2026-03-21,120.85,27.64,EUR,114.99,RECEIVED
PO-01041,1,COMP-001,PLT-SEV-01,SUP-012,MAT-007,2026-02-24,2026-03-16,2026-03-17,1210.09,10.31,EUR,174.99,RECEIVED
PO-01041,2,COMP-001,PLT-SEV-01,SUP-011,MAT-031,2025-05-04,2025-05-07,2025-05-09,134.92,27.71,EUR,136.11,RECEIVED
PO-01041,3,COMP-001,PLT-SEV-01,SUP-003,MAT-013,2026-01-12,2026-01-23,2026-01-24,285.74,2.39,EUR,211.24,RECEIVED
PO-01042,1,COMP-001,PLT-SEV-01,SUP-010,MAT-013,2025-04-18,2025-04-27,2025-04-29,492.79,2.37,EUR,66.14,RECEIVED
PO-01042,2,COMP-001,PLT-SEV-01,SUP-007,MAT-029,2025-09-08,2025-09-12,2025-09-12,145.68,29.78,EUR,117.14,RECEIVED
PO-01042,3,COMP-001,PLT-SEV-01,SUP-003,MAT-006,2025-09-01,2025-09-12,2025-09-13,228.94,9.17,EUR,61.55,RECEIVED
PO-01043,1,COMP-001,PLT-SEV-01,SUP-007,MAT-029,2026-05-29,2026-06-02,2026-06-02,125.0,29.14,EUR,192.63,RECEIVED
PO-01043,2,COMP-001,PLT-SEV-01,SUP-007,MAT-028,2025-04-28,2025-05-02,2025-05-01,181.74,3.53,EUR,125.3,RECEIVED
PO-01043,3,COMP-001,PLT-SEV-01,SUP-003,MAT-011,2026-05-23,2026-06-03,2026-06-02,407.11,4.22,EUR,89.56,RECEIVED
PO-01044,1,COMP-001,PLT-SEV-01,SUP-003,MAT-003,2026-03-15,2026-03-26,2026-03-26,621.62,4.88,EUR,56.15,RECEIVED
PO-01044,2,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2025-06-25,2025-06-30,2025-06-29,179.94,12.43,EUR,144.8,RECEIVED
PO-01044,3,COMP-001,PLT-SEV-01,SUP-009,MAT-017,2025-10-06,2025-10-09,2025-10-10,315.81,8.44,EUR,232.46,RECEIVED
PO-01045,1,COMP-001,PLT-SEV-01,SUP-002,MAT-005,2026-05-30,2026-06-06,2026-06-05,167.63,9.24,EUR,243.19,RECEIVED
PO-01045,2,COMP-001,PLT-SEV-01,SUP-002,MAT-005,2025-08-09,2025-08-16,2025-08-18,282.61,9.16,EUR,187.05,RECEIVED
PO-01045,3,COMP-001,PLT-SEV-01,SUP-004,MAT-015,2025-07-21,2025-07-27,2025-07-27,223.22,23.93,EUR,45.52,RECEIVED
PO-01046,1,COMP-001,PLT-SEV-01,SUP-002,MAT-009,2026-04-12,2026-04-19,2026-04-21,150.52,5.19,EUR,201.52,RECEIVED
PO-01046,2,COMP-001,PLT-SEV-01,SUP-006,MAT-021,2026-08-12,2026-08-20,,529.99,10.61,EUR,214.1,OPEN
PO-01046,3,COMP-001,PLT-SEV-01,SUP-010,MAT-012,2025-04-26,2025-05-05,2025-05-04,209.22,6.7,EUR,103.87,RECEIVED
PO-01047,1,COMP-001,PLT-SEV-01,SUP-004,MAT-015,2026-08-14,2026-08-20,,218.7,24.05,EUR,92.63,OPEN
PO-01047,2,COMP-001,PLT-SEV-01,SUP-006,MAT-018,2025-06-04,2025-06-12,2025-06-13,120.0,22.62,EUR,164.28,RECEIVED
PO-01047,3,COMP-001,PLT-SEV-01,SUP-006,MAT-022,2025-03-30,2025-04-07,2025-04-06,272.04,9.59,EUR,174.71,RECEIVED
PO-01048,1,COMP-001,PLT-SEV-01,SUP-006,MAT-027,2025-12-22,2025-12-30,2026-01-01,274.61,3.65,EUR,141.42,RECEIVED
PO-01048,2,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2025-05-01,2025-05-09,2025-05-09,75.84,0.49,EUR,141.69,RECEIVED
PO-01048,3,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2026-02-17,2026-02-22,2026-02-22,257.47,11.77,EUR,117.81,RECEIVED
PO-01049,1,COMP-001,PLT-SEV-01,SUP-007,MAT-030,2025-11-09,2025-11-13,2025-11-13,228.49,20.33,EUR,100.94,RECEIVED
PO-01049,2,COMP-001,PLT-SEV-01,SUP-004,MAT-016,2026-01-15,2026-01-21,2026-01-21,202.62,20.95,EUR,144.64,RECEIVED
PO-01049,3,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2026-04-07,2026-04-15,2026-04-16,71.85,0.49,EUR,90.55,RECEIVED
PO-01050,1,COMP-001,PLT-SEV-01,SUP-009,MAT-019,2026-06-25,2026-06-28,2026-06-28,294.5,30.89,EUR,217.91,RECEIVED
PO-01050,2,COMP-001,PLT-SEV-01,SUP-008,MAT-024,2026-04-15,2026-04-20,2026-04-19,496.37,4.74,EUR,80.88,RECEIVED
PO-01050,3,COMP-001,PLT-SEV-01,SUP-011,MAT-033,2025-12-12,2025-12-15,2025-12-16,327.88,19.61,EUR,64.95,RECEIVED
PO-01051,1,COMP-001,PLT-SEV-01,SUP-008,MAT-022,2025-09-20,2025-09-25,2025-09-26,391.19,10.36,EUR,145.02,RECEIVED
PO-01051,2,COMP-001,PLT-SEV-01,SUP-008,MAT-022,2025-07-31,2025-08-05,2025-08-06,334.64,10.72,EUR,69.35,RECEIVED
PO-01051,3,COMP-001,PLT-SEV-01,SUP-007,MAT-026,2026-08-02,2026-08-06,2026-08-07,176.25,11.92,EUR,188.84,RECEIVED
PO-01052,1,COMP-001,PLT-SEV-01,SUP-008,MAT-024,2026-05-01,2026-05-06,2026-05-07,619.52,4.63,EUR,228.74,RECEIVED
PO-01052,2,COMP-001,PLT-SEV-01,SUP-006,MAT-031,2025-10-20,2025-10-28,2025-10-30,368.41,29.35,EUR,140.89,RECEIVED
PO-01052,3,COMP-001,PLT-SEV-01,SUP-006,MAT-025,2025-11-04,2025-11-12,2025-11-11,407.2,13.47,EUR,187.11,RECEIVED
PO-01053,1,COMP-001,PLT-SEV-01,SUP-006,MAT-027,2025-09-25,2025-10-03,2025-10-03,257.59,3.51,EUR,168.41,RECEIVED
PO-01053,2,COMP-001,PLT-SEV-01,SUP-012,MAT-004,2026-01-27,2026-02-16,2026-02-18,1114.95,4.09,EUR,119.13,RECEIVED
PO-01053,3,COMP-001,PLT-SEV-01,SUP-011,MAT-035,2025-11-26,2025-11-29,2025-11-30,170.55,5.93,EUR,241.04,RECEIVED
PO-01054,1,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2026-07-14,2026-07-22,2026-07-27,126.39,0.49,EUR,157.7,RECEIVED
PO-01054,2,COMP-001,PLT-SEV-01,SUP-006,MAT-019,2026-03-24,2026-04-01,2026-04-01,173.82,30.35,EUR,240.47,RECEIVED
PO-01054,3,COMP-001,PLT-SEV-01,SUP-006,MAT-019,2026-05-27,2026-06-04,2026-06-09,146.56,30.16,EUR,84.94,RECEIVED
PO-01055,1,COMP-001,PLT-SEV-01,SUP-006,MAT-018,2025-11-01,2025-11-09,2025-11-09,78.74,21.44,EUR,230.09,RECEIVED
PO-01055,2,COMP-001,PLT-SEV-01,SUP-012,MAT-007,2026-06-27,2026-07-17,2026-07-16,1446.35,10.63,EUR,68.87,RECEIVED
PO-01055,3,COMP-001,PLT-SEV-01,SUP-001,MAT-011,2026-07-01,2026-07-06,2026-07-06,366.69,4.53,EUR,198.74,RECEIVED
PO-01056,1,COMP-001,PLT-SEV-01,SUP-012,MAT-004,2025-10-24,2025-11-13,2025-11-14,1221.84,4.19,EUR,218.57,RECEIVED
PO-01056,2,COMP-001,PLT-SEV-01,SUP-006,MAT-027,2025-04-07,2025-04-15,2025-04-15,361.78,3.6,EUR,79.13,RECEIVED
PO-01056,3,COMP-001,PLT-SEV-01,SUP-006,MAT-019,2025-06-18,2025-06-26,2025-06-26,106.11,28.94,EUR,247.71,RECEIVED
PO-01057,1,COMP-001,PLT-SEV-01,SUP-012,MAT-009,2025-06-24,2025-07-14,2025-07-14,918.27,4.42,EUR,94.03,RECEIVED
PO-01057,2,COMP-001,PLT-SEV-01,SUP-006,MAT-019,2026-04-20,2026-04-28,2026-04-28,126.06,29.55,EUR,58.21,RECEIVED
PO-01057,3,COMP-001,PLT-SEV-01,SUP-012,MAT-009,2025-11-10,2025-11-30,2025-11-29,958.88,4.75,EUR,198.29,RECEIVED
