receipt_id,purchase_order_id,purchase_order_line,receipt_date,quantity_received,accepted_quantity,rejected_quantity
GR-00045,PO-01015,2,2026-01-01,324.49,321.73,2.76
GR-00046,PO-01015,3,2026-08-09,246.25,242.75,3.5
GR-00047,PO-01016,1,2026-08-06,354.24,350.49,3.74
GR-00048,PO-01016,2,2026-07-22,259.37,240.01,19.36
GR-00049,PO-01016,3,2025-11-06,344.16,339.13,5.03
GR-00050,PO-01017,1,2025-04-15,327.59,304.68,22.91
GR-00051,PO-01017,2,2026-06-19,110.92,109.55,1.37
GR-00052,PO-01017,3,2026-04-22,240.34,230.08,10.26
GR-00053,PO-01018,1,2025-04-12,278.92,273.91,5.01
GR-00054,PO-01018,2,2025-06-22,431.84,429.32,2.52
GR-00055,PO-01018,3,2026-05-23,293.21,292.26,0.95
GR-00056,PO-01019,1,2026-04-06,234.55,233.57,0.98
GR-00057,PO-01019,2,2025-03-13,220.35,218.6,1.75
GR-00058,PO-01019,3,2026-05-16,118.21,117.39,0.82
GR-00059,PO-01020,1,2026-03-07,86.37,85.08,1.29
GR-00060,PO-01020,2,2025-04-25,105.66,104.19,1.48
GR-00061,PO-01020,3,2025-09-18,130.36,128.77,1.6
GR-00062,PO-01021,1,2025-04-17,277.13,272.59,4.54
GR-00063,PO-01021,2,2025-07-20,165.59,164.78,0.81
GR-00064,PO-01021,3,2026-07-12,417.97,410.73,7.24
GR-00065,PO-01022,1,2026-04-19,404.11,400.21,3.9
GR-00066,PO-01022,2,2025-12-03,303.73,287.33,16.4
GR-00067,PO-01022,3,2026-02-03,118.93,116.99,1.95
GR-00068,PO-01023,1,2025-04-23,77.19,71.71,5.48
GR-00069,PO-01023,2,2026-05-25,1034.19,1025.08,9.11
GR-00070,PO-01023,3,2026-03-19,180.76,180.43,0.32
GR-00071,PO-01024,1,2025-12-13,372.25,371.63,0.61
GR-00072,PO-01024,2,2026-02-11,72.28,71.2,1.08
GR-00073,PO-01024,3,2025-10-31,133.41,132.74,0.67
GR-00074,PO-01025,1,2025-09-01,329.61,324.93,4.69
GR-00075,PO-01025,2,2025-12-04,69.37,69.01,0.35
GR-00076,PO-01025,3,2025-06-24,161.81,159.53,2.28
GR-00077,PO-01026,1,2025-04-08,262.02,259.76,2.26
GR-00078,PO-01026,2,2026-02-02,140.34,133.77,6.57
GR-00079,PO-01026,3,2026-01-01,297.28,296.67,0.61
GR-00080,PO-01027,1,2025-10-28,260.66,258.68,1.98
GR-00081,PO-01027,2,2026-03-23,179.77,179.5,0.28
GR-00082,PO-01027,3,2026-03-25,127.86,124.49,3.37
GR-00083,PO-01028,1,2026-05-21,288.78,288.24,0.54
GR-00084,PO-01028,2,2026-07-17,81.28,80.53,0.75
GR-00085,PO-01028,3,2025-04-05,131.62,129.72,1.9
GR-00086,PO-01029,1,2025-09-10,95.56,90.72,4.84
GR-00087,PO-01029,2,2025-10-12,636.19,627.93,8.26
GR-00088,PO-01029,3,2025-05-08,405.11,400.68,4.43
GR-00089,PO-01030,1,2026-08-10,216.01,213.7,2.31
GR-00090,PO-01030,2,2026-04-18,183.78,172.5,11.28
GR-00091,PO-01030,3,2025-03-11,236.15,233.16,2.99
GR-00092,PO-01031,1,2025-04-16,188.63,186.68,1.95
GR-00093,PO-01031,2,2026-04-22,139.52,138.37,1.16
GR-00094,PO-01031,3,2025-06-25,306.11,284.79,21.32
GR-00095,PO-01032,1,2025-08-27,190.45,176.65,13.8
GR-00096,PO-01032,2,2025-08-04,125.01,124.67,0.34
GR-00097,PO-01032,3,2026-08-08,1436.88,1412.98,23.9
GR-00098,PO-01033,1,2025-05-14,160.58,160.42,0.16
GR-00099,PO-01033,2,2026-06-14,92.21,85.83,6.38
GR-00100,PO-01033,3,2025-04-23,313.23,309.82,3.41
GR-00101,PO-01034,1,2026-06-13,146.54,145.55,0.99
GR-00102,PO-01034,2,2026-06-01,176.21,173.3,2.91
GR-00103,PO-01034,3,2025-04-30,256.75,253.61,3.14
GR-00104,PO-01035,1,2025-08-04,318.95,317.17,1.78
GR-00105,PO-01035,2,2025-06-03,115.23,114.06,1.18
GR-00106,PO-01035,3,2026-05-12,296.72,295.58,1.14
GR-00107,PO-01036,1,2025-07-27,214.37,201.15,13.22
GR-00108,PO-01036,2,2025-07-17,305.83,301.59,4.24
GR-00109,PO-01036,3,2026-05-15,1548.94,1541.0,7.94
GR-00110,PO-01037,1,2026-01-19,111.63,106.54,5.09
GR-00111,PO-01037,2,2026-04-01,196.25,193.42,2.83
GR-00112,PO-01037,3,2026-07-26,738.43,734.64,3.79
GR-00113,PO-01038,1,2026-08-13,316.98,312.32,4.66
GR-00114,PO-01038,2,2026-04-19,150.52,147.82,2.7
GR-00115,PO-01038,3,2026-02-15,682.17,644.18,37.99
GR-00116,PO-01039,1,2025-03-25,1056.98,1045.4,11.58
GR-00117,PO-01039,2,2025-11-07,130.66,124.15,6.51
GR-00118,PO-01039,3,2026-08-15,1351.89,1334.41,17.49
GR-00119,PO-01040,1,2026-02-28,173.57,171.93,1.64
GR-00120,PO-01040,3,2026-03-21,117.47,116.96,0.51
GR-00121,PO-01041,1,2026-03-17,1203.93,1189.1,14.84
GR-00122,PO-01041,2,2025-05-09,132.06,131.96,0.1
GR-00123,PO-01041,3,2026-01-24,281.23,281.04,0.19
GR-00124,PO-01042,1,2025-04-29,483.45,475.71,7.74
GR-00125,PO-01042,2,2025-09-12,144.8,144.1,0.7
GR-00126,PO-01042,3,2025-09-13,224.33,223.13,1.19
GR-00127,PO-01043,1,2026-06-02,124.67,123.29,1.38
GR-00128,PO-01043,2,2025-05-01,179.08,176.66,2.42
GR-00129,PO-01043,3,2026-06-02,402.78,400.15,2.63
GR-00130,PO-01044,1,2026-03-26,605.54,601.54,4.0
GR-00131,PO-01044,2,2025-06-29,176.63,174.84,1.79
GR-00132,PO-01044,3,2025-10-10,310.99,310.3,0.69
GR-00133,PO-01045,1,2026-06-05,167.56,165.54,2.01
GR-00134,PO-01045,2,2025-08-18,275.61,273.82,1.79
GR-00135,PO-01045,3,2025-07-27,220.23,218.77,1.46
GR-00136,PO-01046,1,2026-04-21,149.72,149.52,0.2
GR-00137,PO-01046,3,2025-05-04,203.96,200.53,3.43
GR-00138,PO-01047,2,2025-06-13,118.49,116.87,1.62
GR-00139,PO-01047,3,2025-04-06,268.58,254.59,13.99
GR-00140,PO-01048,1,2026-01-01,273.0,258.04,14.96
GR-00141,PO-01048,2,2025-05-09,74.03,70.43,3.59
GR-00142,PO-01048,3,2026-02-22,254.09,252.63,1.46
GR-00143,PO-01049,1,2025-11-13,224.27,221.79,2.48
GR-00144,PO-01049,2,2026-01-21,199.67,197.88,1.79
GR-00145,PO-01049,3,2026-04-16,70.96,70.68,0.28
GR-00146,PO-01050,1,2026-06-28,289.48,284.88,4.6
GR-00147,PO-01050,2,2026-04-19,489.72,489.07,0.65
GR-00148,PO-01050,3,2025-12-16,327.64,325.31,2.32
GR-00149,PO-01051,1,2025-09-26,379.99,379.05,0.94
GR-00150,PO-01051,2,2025-08-06,333.95,332.04,1.91
GR-00151,PO-01051,3,2026-08-07,172.54,170.01,2.53
GR-00152,PO-01052,1,2026-05-07,617.15,610.16,6.99
GR-00153,PO-01052,2,2025-10-30,363.16,342.2,20.95
GR-00154,PO-01052,3,2025-11-11,397.31,383.29,14.02
GR-00155,PO-01053,1,2025-10-03,253.51,236.3,17.21
GR-00156,PO-01053,2,2026-02-18,1113.5,1104.28,9.21
GR-00157,PO-01053,3,2025-11-30,166.86,165.97,0.9
GR-00158,PO-01054,1,2026-07-27,126.14,118.86,7.28
GR-00159,PO-01054,2,2026-04-01,172.8,168.78,4.02
GR-00160,PO-01054,3,2026-06-09,145.81,142.64,3.16
GR-00161,PO-01055,1,2025-11-09,76.91,75.48,1.43
GR-00162,PO-01055,2,2026-07-16,1444.81,1419.38,25.43
GR-00163,PO-01055,3,2026-07-06,358.85,357.01,1.84
GR-00164,PO-01056,1,2025-11-14,1186.55,1166.87,19.68
GR-00165,PO-01056,2,2025-04-15,359.06,334.0,25.06
GR-00166,PO-01056,3,2025-06-26,104.66,100.52,4.14
GR-00167,PO-01057,1,2025-07-14,895.85,883.97,11.88
GR-00168,PO-01057,2,2026-04-28,124.81,122.96,1.84
GR-00169,PO-01057,3,2025-11-29,957.56,952.35,5.2
GR-00170,PO-01058,1,2025-11-16,1192.12,1177.4,14.72
GR-00171,PO-01058,2,2025-12-31,117.95,117.62,0.33
GR-00172,PO-01058,3,2026-07-02,626.27,618.6,7.67
GR-00173,PO-01059,1,2026-03-16,335.03,329.59,5.44
GR-00174,PO-01059,3,2026-06-08,349.0,347.38,1.61
GR-00175,PO-01060,1,2026-04-18,315.61,314.47,1.14
GR-00176,PO-01060,2,2025-05-08,166.31,163.91,2.39
GR-00177,PO-01060,3,2026-04-16,990.05,978.26,11.79
GR-00178,PO-01061,1,2026-02-27,301.39,283.84,17.55
GR-00179,PO-01061,2,2026-01-06,192.99,190.13,2.86
GR-00180,PO-01061,3,2025-12-16,95.09,88.93,6.16
GR-00181,PO-01062,1,2025-05-15,220.94,205.52,15.42
GR-00182,PO-01062,2,2025-11-02,148.93,147.58,1.35
GR-00183,PO-01062,3,2026-01-30,198.76,193.96,4.8
GR-00184,PO-01063,1,2025-12-13,306.8,305.83,0.97
GR-00185,PO-01063,2,2026-02-22,108.37,107.55,0.81
GR-00186,PO-01063,3,2026-07-14,297.72,293.4,4.32
GR-00187,PO-01064,1,2025-07-23,437.58,430.32,7.26
GR-00188,PO-01064,2,2025-09-19,334.52,311.14,23.38
GR-00189,PO-01064,3,2026-02-15,324.44,318.82,5.62
GR-00190,PO-01065,1,2025-10-07,426.57,423.65,2.92
GR-00191,PO-01065,2,2026-03-08,141.17,139.33,1.84
GR-00192,PO-01065,3,2026-05-05,485.51,475.39,10.13
GR-00193,PO-01066,1,2026-02-05,202.4,200.01,2.38
GR-00194,PO-01066,2,2026-07-21,383.39,377.91,5.49
GR-00195,PO-01066,3,2026-07-25,631.27,630.6,0.67
GR-00196,PO-01067,1,2025-04-29,711.29,702.23,9.05
GR-00197,PO-01067,2,2026-03-28,218.38,216.48,1.9
GR-00198,PO-01067,3,2026-05-03,173.87,169.88,3.99
GR-00199,PO-01068,1,2025-09-02,328.58,324.91,3.67
GR-00200,PO-01068,2,2026-04-13,225.48,221.46,4.02
GR-00201,PO-01068,3,2025-05-30,181.65,180.33,1.33
GR-00202,PO-01069,1,2025-03-17,146.45,144.38,2.07
GR-00203,PO-01069,2,2026-07-16,440.92,433.78,7.14
GR-00204,PO-01069,3,2026-01-27,716.14,706.96,9.19
GR-00205,PO-01070,1,2025-11-11,93.65,91.17,2.49
GR-00206,PO-01070,2,2026-02-24,217.52,215.12,2.4
GR-00207,PO-01070,3,2025-12-09,108.36,107.52,0.84
GR-00208,PO-01071,1,2026-01-05,385.29,363.35,21.94
GR-00209,PO-01071,2,2025-07-03,280.51,279.15,1.36
GR-00210,PO-01071,3,2026-06-11,166.69,166.41,0.28
GR-00211,PO-01072,1,2026-05-03,140.1,137.6,2.5
GR-00212,PO-01072,2,2025-08-27,182.44,181.89,0.55
GR-00213,PO-01072,3,2025-05-21,232.31,229.82,2.48
GR-00214,PO-01073,1,2026-01-14,388.31,382.69,5.62
GR-00215,PO-01073,2,2025-07-23,283.38,281.77,1.6
GR-00216,PO-01073,3,2026-07-21,136.95,135.01,1.94
GR-00217,PO-01074,1,2025-09-30,430.67,429.75,0.93
GR-00218,PO-01074,2,2025-12-30,261.08,257.91,3.16
GR-00219,PO-01074,3,2025-08-27,882.84,873.59,9.25
GR-00220,PO-01075,1,2026-03-09,168.39,168.13,0.26
GR-00221,PO-01075,2,2025-04-24,81.81,76.88,4.93
GR-00222,PO-01075,3,2025-11-28,69.95,66.73,3.22
GR-00223,PO-01076,1,2026-07-30,147.85,146.75,1.11
GR-00224,PO-01076,2,2025-08-09,666.29,660.5,5.79
GR-00225,PO-01076,3,2026-06-10,104.14,104.1,0.04
GR-00226,PO-01077,1,2025-08-26,242.09,231.24,10.84
GR-00227,PO-01077,2,2025-09-09,324.81,321.22,3.59
GR-00228,PO-01077,3,2026-04-11,582.52,574.04,8.48
GR-00229,PO-01078,1,2025-09-28,1309.96,1289.62,20.34
GR-00230,PO-01078,2,2026-04-15,289.61,285.61,4.0
GR-00231,PO-01078,3,2026-01-17,121.44,121.13,0.31
GR-00232,PO-01079,1,2026-04-02,233.26,230.55,2.71
GR-00233,PO-01079,2,2025-07-31,212.14,210.77,1.37
GR-00234,PO-01079,3,2026-04-19,801.57,795.58,6.0
GR-00235,PO-01080,1,2025-04-05,123.34,122.96,0.37
GR-00236,PO-01080,2,2025-07-03,283.43,275.12,8.32
GR-00237,PO-01080,3,2026-05-16,555.71,546.96,8.75
GR-00238,PO-01081,1,2025-06-05,452.56,450.85,1.71
GR-00239,PO-01081,2,2025-07-26,82.2,81.42,0.79
GR-00240,PO-01081,3,2026-01-02,236.24,219.23,17.01
GR-00241,PO-01082,1,2026-05-11,715.85,704.69,11.16
GR-00242,PO-01082,2,2025-11-17,188.27,186.14,2.13
GR-00243,PO-01082,3,2025-06-09,151.79,150.78,1.01
GR-00244,PO-01083,1,2025-06-09,288.74,284.33,4.42
GR-00245,PO-01083,2,2026-05-17,128.32,127.06,1.26
GR-00246,PO-01083,3,2025-05-08,1295.68,1275.68,20.0
GR-00247,PO-01084,1,2026-05-17,104.71,104.14,0.57
GR-00248,PO-01084,2,2025-11-19,119.3,115.52,3.78
GR-00249,PO-01084,3,2025-06-07,101.45,100.37,1.08
GR-00250,PO-01085,1,2026-02-22,172.25,171.28,0.98
GR-00251,PO-01085,2,2025-06-20,375.41,352.18,23.23
GR-00252,PO-01085,3,2025-03-17,149.26,148.85,0.41
GR-00253,PO-01086,1,2025-05-31,344.18,342.0,2.18
GR-00254,PO-01086,2,2025-11-13,197.54,194.97,2.56
GR-00255,PO-01086,3,2026-01-11,205.18,200.33,4.85
